time,close,open,high,low,VWAP,Volume,Volume MA
2020-07-01T00:00:00-04:00,9147.3,9138.55,9162.85,9138.17,9127.55042,1116.286467,1308.397847
2020-07-01T01:00:00-04:00,9142.62,9146.9,9153.5,9131,9129.36347,751.761887,1273.695248
2020-07-01T02:00:00-04:00,9134.74,9142.61,9148.76,9125.31,9130.365557,1043.111087,1269.171573
2020-07-01T03:00:00-04:00,9135.37,9134.52,9158,9128.62,9132.01892,1375.046851,1281.028183
2020-07-01T04:00:00-04:00,9173.81,9135.37,9200,9135.02,9140.615556,2539.257146,1330.434522
2020-07-01T05:00:00-04:00,9164.99,9174.08,9185.14,9154.2,9143.795702,1452.272769,1200.412874
2020-07-01T06:00:00-04:00,9150.56,9164.46,9175,9140.24,9144.91455,1357.025128,1176.013769
2020-07-01T07:00:00-04:00,9158.98,9149.97,9160,9133.1,9145.506264,1587.109854,1169.323022
2020-07-01T08:00:00-04:00,9165.44,9159.06,9166.53,9135.07,9146.332106,1369.349054,1182.234869
2020-07-01T09:00:00-04:00,9211.96,9165.01,9254,9150,9158.825406,4532.863646,1343.335127
2020-07-01T10:00:00-04:00,9216.53,9211.96,9245.99,9207.92,9165.260726,2365.711131,1418.062376
2020-07-01T11:00:00-04:00,9263.94,9216.53,9268.38,9212.7,9172.434348,2246.235798,1459.91425
2020-07-01T12:00:00-04:00,9285,9263.83,9292,9232.7,9184.518995,3681.98704,1604.378882
2020-07-01T13:00:00-04:00,9279.01,9285,9289.97,9260.86,9189.6794,1762.764956,1655.882346
2020-07-01T14:00:00-04:00,9255.35,9279,9283.16,9246.42,9193.238748,1636.924578,1696.36586
2020-07-01T15:00:00-04:00,9240.01,9255.31,9270,9235,9195.290534,1280.12215,1718.797165
2020-07-01T16:00:00-04:00,9235.01,9240.01,9259.97,9231.12,9196.9106,1234.218181,1693.625979
2020-07-01T17:00:00-04:00,9238.51,9235,9245.24,9219.14,9197.935839,1004.073686,1704.204101
2020-07-01T18:00:00-04:00,9240.35,9237.52,9247.43,9210.16,9198.851334,991.856502,1700.012983
2020-07-01T19:00:00-04:00,9232,9240.36,9249.1,9222.54,9199.66973,882.437026,1710.520747
2020-07-01T20:00:00-04:00,9226.01,9231.99,9245.58,9215.12,9228.903333,986.905929,1704.05172
